Threshold,Accuracy,Precision,Recall,F1-score,N_Signals
0.3,0.5666666666666667,0.43137254901960786,0.2430939226519337,0.31095406360424027,102
0.35,0.58,0.45,0.19889502762430938,0.27586206896551724,80
0.4,0.58,0.43548387096774194,0.14917127071823205,0.2222222222222222,62
0.45,0.5844444444444444,0.42857142857142855,0.09944751381215469,0.16143497757847533,42
0.5,0.5955555555555555,0.48148148148148145,0.0718232044198895,0.125,27
0.55,0.6,0.5294117647058824,0.049723756906077346,0.09090909090909091,17
0.6,0.5977777777777777,0.5,0.022099447513812154,0.042328042328042326,8
0.65,0.6022222222222222,0.6666666666666666,0.022099447513812154,0.0427807486631016,6
0.7,0.6,0.6666666666666666,0.011049723756906077,0.021739130434782608,3
0.75,0.5977777777777777,0.0,0.0,0.0,0
0.8,0.5977777777777777,0.0,0.0,0.0,0
