Entry_Date,Exit_Date,Entry_Price,Exit_Price,PnL_%,PnL_Net_%,Holding_Days,Result
2024-03-26,2024-04-15,168.02,170.98,1.76,1.56,20,WIN
2024-04-17,2024-04-26,166.33,167.62,0.77,0.57,9,WIN
2024-04-29,2024-05-07,171.78,180.59,5.13,4.93,8,WIN
2024-05-08,2024-05-09,180.93,182.74,1.0,0.8,1,WIN
2024-05-10,2024-05-29,181.48,188.66,3.96,3.76,19,WIN
2024-06-10,2024-06-11,191.46,205.37,7.26,7.06,1,WIN
2024-08-02,2024-08-05,217.97,207.47,-4.82,-5.02,3,LOSS
2024-08-06,2024-08-12,205.45,215.91,5.09,4.89,6,WIN
2024-08-20,2024-08-21,224.82,224.72,-0.05,-0.25,1,LOSS
2024-08-22,2024-08-23,222.86,225.15,1.03,0.83,1,WIN
2024-09-05,2024-09-06,220.73,219.18,-0.7,-0.9,1,LOSS
2024-09-18,2024-09-20,219.05,226.5,3.4,3.2,2,WIN
2024-10-09,2024-10-10,227.83,227.34,-0.22,-0.42,1,LOSS
2024-12-18,2024-12-19,246.48,248.2,0.7,0.5,1,WIN
2025-01-17,2025-01-22,228.52,222.41,-2.67,-2.87,5,LOSS
2025-03-06,2025-03-10,234.09,226.28,-3.34,-3.54,4,LOSS
2025-03-11,2025-04-02,219.68,222.71,1.38,1.18,22,WIN
2025-04-08,2025-04-09,171.51,197.8,15.33,15.13,1,WIN
2025-04-21,2025-04-24,192.14,207.27,7.87,7.67,3,WIN
2025-05-21,2025-05-23,201.29,194.5,-3.37,-3.57,2,LOSS
2025-06-02,2025-06-12,200.9,198.41,-1.24,-1.44,10,LOSS
2025-06-13,2025-08-08,195.67,228.44,16.75,16.55,56,WIN
2025-08-11,2025-08-12,226.54,229.0,1.09,0.89,1,WIN
2025-08-13,2025-08-20,232.67,225.37,-3.14,-3.34,7,LOSS
2025-08-28,2025-09-05,231.9,239.01,3.07,2.87,8,WIN
2025-10-13,2025-10-16,246.96,246.75,-0.08,-0.28,3,LOSS
2025-10-24,2025-10-29,262.08,268.94,2.62,2.42,5,WIN
2025-12-19,2025-12-26,273.16,272.89,-0.1,-0.3,7,LOSS
2026-01-21,2026-01-28,247.19,255.96,3.55,3.35,7,WIN
2026-02-17,2026-02-18,263.64,264.11,0.18,-0.02,1,LOSS
2026-02-23,2026-02-24,265.93,271.89,2.24,2.04,1,WIN
2026-03-03,2026-03-05,263.51,260.05,-1.31,-1.51,2,LOSS
2026-03-16,2026-03-24,252.59,251.41,-0.47,-0.67,8,LOSS
2026-03-27,2026-04-02,248.57,255.68,2.86,2.66,6,WIN
2026-04-08,2026-04-09,258.66,260.25,0.61,0.41,1,WIN
2026-06-11,2026-06-23 (OPEN),295.63,294.3,-0.45,-0.55,12,LOSS
